timestamp,funding_rate
1568131200000,0.0001
1568160000000,0.0001
1568188800000,0.0001
1568217600000,0.0001
1568246400000,0.0001
1568275200000,0.0001
1568304000000,0.0001
1568332800000,0.0001
1568361600000,0.0001
1568390400000,0.0001
1568419200000,0.0001
1568448000000,0.0001
1568476800001,0.0001
1568505600001,0.0001
1568534400000,0.0001
1568563200000,0.0001
1568592000000,0.0001
1568620800000,0.0001
1568649600000,0.0001
1568678400000,0.0001
1568707200000,0.0001
1568736000000,0.0001
1568764800000,0.0001
1568793600000,0.0001
1568822400000,0.0001
1568851200000,0.0001
1568880000000,0.0001
1568908800000,0.0001
1568937600000,0.0001
1568966400000,0.0001
1568995200000,0.0001
1569024000000,0.0001
1569052800000,0.0001
1569081600000,0.0001
1569110400000,0.0001
1569139200000,0.0001
1569168000000,0.0001
1569196800000,0.0001
1569225600001,0.0001
1569254400000,0.0001
1569283200001,0.0001
1569312000000,0.0001
1569340800000,0.0001
1569369600000,0.0001
1569398400001,0.0001
1569427200000,0.0001
1569456000000,0.0001
1569484800000,0.0001
1569513600000,0.0001
1569542400001,0.0001
1569571200000,0.0001
1569600000000,0.0001
1569628800000,0.0001
1569657600001,0.0001
1569686400000,0.0001
1569715200000,0.0001
1569744000000,0.0001
1569772800000,0.0001
1569801600000,0.0001
1569830400000,0.0001
1569859200000,0.0001
1569888000000,0.0001
1569916800000,0.0001
1569945600001,0.0001
1569974400000,0.0001
1570003200000,0.0001
1570032000000,-0.00052458
1570060800000,-0.0003222
1570089600001,-0.00006876
1570118400000,0.0001
1570147200001,0.0001
1570176000000,0.00003592
1570204800000,-0.00013704
1570233600000,-0.00025688
1570262400000,-0.0002266
1570291200000,-0.00001226
1570320000000,-0.00011057
1570348800000,-0.00003644
1570377600000,0.00002715
1570406400001,-0.00005063
1570435200000,-0.00020006
1570464000000,-0.00024859
1570492800001,0.0001
1570521600000,0.0001
1570550400000,0.0001
1570579200000,0.0001
1570608000000,0.0001
1570636800000,0.0001
1570665600000,0.0001
1570694400000,0.0001
1570723200000,0.0001
1570752000000,0.0001
1570780800000,0.0001
1570809600000,0.0001
1570838400000,0.0001
1570867200000,0.0001
1570896000000,0.0001
1570924800000,0.0001
1570953600000,0.0001
1570982400000,0.0001
1571011200000,0.0001
1571040000000,0.0001
1571068800000,0.0001
1571097600000,0.0001
1571126400000,0.0001
1571155200000,0.0001
1571184000000,0.0001
1571212800000,0.0001
1571241600000,0.0001
1571270400000,0.0001
1571299200001,0.0001
1571328000001,0.0001
1571356800000,0.0001
1571385600000,0.0001
1571414400000,0.0001
1571443200001,0.0001
1571472000000,0.0001
1571500800000,0.0001
1571529600000,0.0001
1571558400000,0.0001
1571587200000,0.0001
1571616000000,0.0001
1571644800000,0.0001
1571673600001,0.0001
1571702400000,0.0001
1571731200000,0.0001
1571760000000,0.0001
1571788800000,0.0001
1571817600000,0.0001
1571846400000,0.0001
1571875200000,0.0001
1571904000000,0.0001
1571932800000,-0.00004395
1571961600000,0.0001
1571990400000,0.0001
1572019200000,-0.00014709
1572048000000,0.0001
1572076800000,0.00013709
1572105600000,0.00030874
1572134400001,0.0001
1572163200000,0.00018561
1572192000000,0.0001
1572220800000,0.00012485
1572249600000,0.00078363
1572278400000,0.00073711
1572307200000,0.00053797
1572336000000,0.00016366
1572364800000,0.00046967
1572393600000,0.00025294
1572422400000,0.0002903
